"sub"	"vax"	"choice"	"covid_vax_attitude"
13	"Novavax"	1	"Neutral"
13	"Sinovac"	0	"Neutral"
13	"Bharat Biotech"	0	"Neutral"
13	"Johnson & Johnson"	1	"Neutral"
14	"Sinovac"	0	"Anti"
14	"Moderna"	0	"Anti"
14	"Bharat Biotech"	0	"Anti"
14	"Johnson & Johnson"	0	"Anti"
14	"CanSino Biologics"	0	"Anti"
14	"Novavax"	0	"Anti"
14	"BioNTech/Pfizer"	0	"Anti"
14	"AstraZeneca"	0	"Anti"
15	"Novavax"	0	"Anti"
15	"CanSino Biologics"	0	"Anti"
15	"Bharat Biotech"	0	"Anti"
15	"AstraZeneca"	0	"Anti"
15	"Johnson & Johnson"	0	"Anti"
15	"BioNTech/Pfizer"	0	"Anti"
15	"Moderna"	0	"Anti"
15	"Sinovac"	0	"Anti"
16	"Bharat Biotech"	1	"Anti"
16	"Moderna"	0	"Anti"
16	"BioNTech/Pfizer"	0	"Anti"
16	"Novavax"	1	"Anti"
16	"CanSino Biologics"	0	"Anti"
16	"AstraZeneca"	1	"Anti"
16	"Johnson & Johnson"	0	"Anti"
16	"Sinovac"	0	"Anti"
17	"Bharat Biotech"	1	"Anti"
17	"Moderna"	0	"Anti"
17	"AstraZeneca"	0	"Anti"
17	"Novavax"	0	"Anti"
17	"Johnson & Johnson"	0	"Anti"
17	"Sinovac"	0	"Anti"
17	"BioNTech/Pfizer"	1	"Anti"
17	"CanSino Biologics"	0	"Anti"
18	"CanSino Biologics"	0	"Neutral"
18	"BioNTech/Pfizer"	1	"Neutral"
18	"Johnson & Johnson"	1	"Neutral"
18	"Bharat Biotech"	1	"Neutral"
18	"Moderna"	1	"Neutral"
18	"AstraZeneca"	1	"Neutral"
18	"Novavax"	1	"Neutral"
18	"Sinovac"	0	"Neutral"
19	"Johnson & Johnson"	1	"Pro"
19	"CanSino Biologics"	0	"Pro"
19	"Bharat Biotech"	1	"Pro"
19	"Novavax"	1	"Pro"
19	"Moderna"	1	"Pro"
19	"BioNTech/Pfizer"	1	"Pro"
19	"AstraZeneca"	1	"Pro"
19	"Sinovac"	0	"Pro"
20	"Johnson & Johnson"	1	"Pro"
20	"BioNTech/Pfizer"	0	"Pro"
20	"AstraZeneca"	1	"Pro"
20	"Novavax"	1	"Pro"
20	"Bharat Biotech"	1	"Pro"
20	"Moderna"	1	"Pro"
20	"CanSino Biologics"	1	"Pro"
20	"Sinovac"	1	"Pro"
21	"Johnson & Johnson"	1	"Neutral"
21	"Novavax"	1	"Neutral"
21	"Moderna"	0	"Neutral"
21	"AstraZeneca"	0	"Neutral"
21	"Sinovac"	1	"Neutral"
21	"BioNTech/Pfizer"	0	"Neutral"
21	"Bharat Biotech"	1	"Neutral"
21	"CanSino Biologics"	1	"Neutral"
22	"Bharat Biotech"	0	"Anti"
22	"Moderna"	0	"Anti"
22	"Novavax"	0	"Anti"
22	"CanSino Biologics"	0	"Anti"
22	"Johnson & Johnson"	0	"Anti"
22	"BioNTech/Pfizer"	0	"Anti"
22	"AstraZeneca"	0	"Anti"
22	"Sinovac"	0	"Anti"
23	"Johnson & Johnson"	0	"Anti"
23	"Novavax"	0	"Anti"
23	"CanSino Biologics"	0	"Anti"
23	"Moderna"	0	"Anti"
23	"Sinovac"	0	"Anti"
23	"BioNTech/Pfizer"	0	"Anti"
23	"AstraZeneca"	0	"Anti"
23	"Bharat Biotech"	0	"Anti"
24	"Moderna"	1	"Pro"
24	"Novavax"	1	"Pro"
24	"Bharat Biotech"	0	"Pro"
24	"BioNTech/Pfizer"	1	"Pro"
24	"CanSino Biologics"	0	"Pro"
24	"Johnson & Johnson"	0	"Pro"
24	"AstraZeneca"	1	"Pro"
24	"Sinovac"	0	"Pro"
25	"Moderna"	1	"Neutral"
25	"Bharat Biotech"	0	"Neutral"
25	"BioNTech/Pfizer"	1	"Neutral"
25	"CanSino Biologics"	0	"Neutral"
25	"Sinovac"	0	"Neutral"
25	"Johnson & Johnson"	0	"Neutral"
25	"Novavax"	0	"Neutral"
25	"AstraZeneca"	0	"Neutral"
26	"Moderna"	1	"Anti"
26	"AstraZeneca"	0	"Anti"
26	"Bharat Biotech"	0	"Anti"
26	"Sinovac"	0	"Anti"
26	"BioNTech/Pfizer"	0	"Anti"
26	"Johnson & Johnson"	0	"Anti"
26	"CanSino Biologics"	0	"Anti"
26	"Novavax"	0	"Anti"
27	"Sinovac"	0	"Pro"
27	"AstraZeneca"	1	"Pro"
27	"Novavax"	1	"Pro"
27	"CanSino Biologics"	1	"Pro"
27	"BioNTech/Pfizer"	1	"Pro"
27	"Moderna"	1	"Pro"
27	"Bharat Biotech"	1	"Pro"
27	"Johnson & Johnson"	1	"Pro"
28	"Sinovac"	1	"Pro"
28	"AstraZeneca"	1	"Pro"
28	"Novavax"	1	"Pro"
28	"Moderna"	1	"Pro"
28	"CanSino Biologics"	1	"Pro"
28	"Johnson & Johnson"	1	"Pro"
28	"BioNTech/Pfizer"	1	"Pro"
28	"Bharat Biotech"	1	"Pro"
29	"CanSino Biologics"	0	"Anti"
29	"Novavax"	0	"Anti"
29	"BioNTech/Pfizer"	0	"Anti"
29	"Moderna"	0	"Anti"
29	"Johnson & Johnson"	0	"Anti"
29	"AstraZeneca"	0	"Anti"
29	"Bharat Biotech"	0	"Anti"
29	"Sinovac"	0	"Anti"
30	"Novavax"	1	"Neutral"
30	"Moderna"	0	"Neutral"
30	"BioNTech/Pfizer"	1	"Neutral"
30	"Johnson & Johnson"	1	"Neutral"
30	"Bharat Biotech"	0	"Neutral"
30	"AstraZeneca"	1	"Neutral"
30	"Sinovac"	1	"Neutral"
30	"CanSino Biologics"	0	"Neutral"
31	"BioNTech/Pfizer"	0	"Anti"
31	"CanSino Biologics"	0	"Anti"
31	"AstraZeneca"	0	"Anti"
31	"Bharat Biotech"	0	"Anti"
31	"Johnson & Johnson"	0	"Anti"
31	"Sinovac"	0	"Anti"
31	"Moderna"	0	"Anti"
31	"Novavax"	0	"Anti"
32	"BioNTech/Pfizer"	1	"Anti"
32	"Novavax"	0	"Anti"
32	"CanSino Biologics"	0	"Anti"
32	"AstraZeneca"	1	"Anti"
32	"Sinovac"	0	"Anti"
32	"Moderna"	0	"Anti"
32	"Johnson & Johnson"	0	"Anti"
32	"Bharat Biotech"	1	"Anti"
33	"BioNTech/Pfizer"	1	"Pro"
33	"Johnson & Johnson"	1	"Pro"
33	"Moderna"	1	"Pro"
33	"Novavax"	0	"Pro"
33	"Sinovac"	1	"Pro"
33	"AstraZeneca"	1	"Pro"
33	"CanSino Biologics"	0	"Pro"
33	"Bharat Biotech"	0	"Pro"
34	"Sinovac"	1	"Pro"
34	"Johnson & Johnson"	1	"Pro"
34	"BioNTech/Pfizer"	1	"Pro"
34	"AstraZeneca"	1	"Pro"
34	"CanSino Biologics"	1	"Pro"
34	"Novavax"	1	"Pro"
34	"Bharat Biotech"	1	"Pro"
34	"Moderna"	1	"Pro"
35	"AstraZeneca"	1	"Pro"
35	"Novavax"	1	"Pro"
35	"Bharat Biotech"	1	"Pro"
35	"CanSino Biologics"	1	"Pro"
35	"Sinovac"	0	"Pro"
35	"Moderna"	1	"Pro"
35	"BioNTech/Pfizer"	1	"Pro"
35	"Johnson & Johnson"	1	"Pro"
36	"Novavax"	0	"Pro"
36	"Johnson & Johnson"	1	"Pro"
36	"Moderna"	1	"Pro"
36	"Bharat Biotech"	1	"Pro"
36	"AstraZeneca"	1	"Pro"
36	"Sinovac"	0	"Pro"
36	"BioNTech/Pfizer"	0	"Pro"
36	"CanSino Biologics"	1	"Pro"
37	"Moderna"	1	"Neutral"
37	"Johnson & Johnson"	1	"Neutral"
37	"Bharat Biotech"	1	"Neutral"
37	"Sinovac"	0	"Neutral"
37	"AstraZeneca"	1	"Neutral"
37	"BioNTech/Pfizer"	1	"Neutral"
37	"CanSino Biologics"	0	"Neutral"
37	"Novavax"	1	"Neutral"
38	"BioNTech/Pfizer"	1	"Pro"
38	"Novavax"	1	"Pro"
38	"Bharat Biotech"	1	"Pro"
38	"CanSino Biologics"	1	"Pro"
38	"Johnson & Johnson"	1	"Pro"
38	"AstraZeneca"	1	"Pro"
38	"Sinovac"	0	"Pro"
38	"Moderna"	1	"Pro"
39	"Johnson & Johnson"	0	"Anti"
39	"Bharat Biotech"	0	"Anti"
39	"CanSino Biologics"	0	"Anti"
39	"Sinovac"	0	"Anti"
39	"Novavax"	0	"Anti"
39	"BioNTech/Pfizer"	0	"Anti"
39	"AstraZeneca"	0	"Anti"
39	"Moderna"	0	"Anti"
40	"CanSino Biologics"	0	"Pro"
40	"Sinovac"	0	"Pro"
40	"Moderna"	1	"Pro"
40	"Johnson & Johnson"	1	"Pro"
40	"Bharat Biotech"	1	"Pro"
40	"Novavax"	1	"Pro"
40	"AstraZeneca"	1	"Pro"
40	"BioNTech/Pfizer"	1	"Pro"
41	"Sinovac"	0	"Anti"
41	"CanSino Biologics"	0	"Anti"
41	"Johnson & Johnson"	0	"Anti"
41	"BioNTech/Pfizer"	0	"Anti"
41	"Novavax"	0	"Anti"
41	"Moderna"	0	"Anti"
41	"Bharat Biotech"	0	"Anti"
41	"AstraZeneca"	0	"Anti"
42	"AstraZeneca"	0	"Neutral"
42	"Johnson & Johnson"	0	"Neutral"
42	"Sinovac"	0	"Neutral"
42	"Novavax"	1	"Neutral"
42	"CanSino Biologics"	0	"Neutral"
42	"BioNTech/Pfizer"	1	"Neutral"
42	"Bharat Biotech"	0	"Neutral"
42	"Moderna"	0	"Neutral"
43	"Novavax"	1	"Pro"
43	"AstraZeneca"	1	"Pro"
43	"CanSino Biologics"	0	"Pro"
43	"Bharat Biotech"	1	"Pro"
43	"Sinovac"	1	"Pro"
43	"Johnson & Johnson"	1	"Pro"
43	"BioNTech/Pfizer"	1	"Pro"
43	"Moderna"	1	"Pro"
44	"CanSino Biologics"	0	"Anti"
44	"BioNTech/Pfizer"	0	"Anti"
44	"Johnson & Johnson"	0	"Anti"
44	"Sinovac"	0	"Anti"
44	"Bharat Biotech"	0	"Anti"
44	"Novavax"	0	"Anti"
44	"AstraZeneca"	0	"Anti"
44	"Moderna"	0	"Anti"
45	"CanSino Biologics"	1	"Pro"
45	"Novavax"	0	"Pro"
45	"Johnson & Johnson"	1	"Pro"
45	"AstraZeneca"	1	"Pro"
45	"Sinovac"	1	"Pro"
45	"BioNTech/Pfizer"	1	"Pro"
45	"Bharat Biotech"	0	"Pro"
45	"Moderna"	1	"Pro"
46	"Novavax"	0	"Pro"
46	"AstraZeneca"	1	"Pro"
46	"Johnson & Johnson"	0	"Pro"
46	"Bharat Biotech"	0	"Pro"
46	"CanSino Biologics"	0	"Pro"
46	"Moderna"	1	"Pro"
46	"BioNTech/Pfizer"	1	"Pro"
46	"Sinovac"	0	"Pro"
47	"AstraZeneca"	1	"Pro"
47	"Moderna"	1	"Pro"
47	"Bharat Biotech"	1	"Pro"
47	"BioNTech/Pfizer"	1	"Pro"
47	"Johnson & Johnson"	1	"Pro"
47	"Sinovac"	0	"Pro"
47	"CanSino Biologics"	0	"Pro"
47	"Novavax"	1	"Pro"
48	"BioNTech/Pfizer"	1	"Pro"
48	"Bharat Biotech"	1	"Pro"
48	"CanSino Biologics"	1	"Pro"
48	"Sinovac"	1	"Pro"
48	"Novavax"	1	"Pro"
48	"Moderna"	1	"Pro"
48	"Johnson & Johnson"	1	"Pro"
48	"AstraZeneca"	1	"Pro"
49	"Novavax"	1	"Neutral"
49	"Sinovac"	0	"Neutral"
49	"CanSino Biologics"	0	"Neutral"
49	"Bharat Biotech"	1	"Neutral"
49	"AstraZeneca"	1	"Neutral"
49	"Moderna"	1	"Neutral"
49	"BioNTech/Pfizer"	1	"Neutral"
49	"Johnson & Johnson"	0	"Neutral"
50	"CanSino Biologics"	1	"Pro"
50	"Bharat Biotech"	1	"Pro"
50	"BioNTech/Pfizer"	1	"Pro"
50	"Johnson & Johnson"	1	"Pro"
50	"AstraZeneca"	1	"Pro"
50	"Sinovac"	0	"Pro"
50	"Moderna"	1	"Pro"
50	"Novavax"	1	"Pro"
51	"AstraZeneca"	0	"Anti"
51	"Bharat Biotech"	0	"Anti"
51	"Novavax"	0	"Anti"
51	"Johnson & Johnson"	0	"Anti"
51	"CanSino Biologics"	0	"Anti"
51	"Moderna"	0	"Anti"
51	"Sinovac"	0	"Anti"
51	"BioNTech/Pfizer"	0	"Anti"
52	"AstraZeneca"	1	"Pro"
52	"Sinovac"	0	"Pro"
52	"Bharat Biotech"	1	"Pro"
52	"Novavax"	0	"Pro"
52	"CanSino Biologics"	0	"Pro"
52	"Moderna"	1	"Pro"
52	"BioNTech/Pfizer"	1	"Pro"
52	"Johnson & Johnson"	0	"Pro"
53	"CanSino Biologics"	0	"Neutral"
53	"Moderna"	0	"Neutral"
53	"Sinovac"	0	"Neutral"
53	"Bharat Biotech"	0	"Neutral"
53	"AstraZeneca"	0	"Neutral"
53	"Novavax"	0	"Neutral"
53	"Johnson & Johnson"	0	"Neutral"
53	"BioNTech/Pfizer"	0	"Neutral"
54	"CanSino Biologics"	1	"Pro"
54	"AstraZeneca"	1	"Pro"
54	"Johnson & Johnson"	1	"Pro"
54	"Sinovac"	1	"Pro"
54	"Bharat Biotech"	1	"Pro"
54	"Novavax"	1	"Pro"
54	"BioNTech/Pfizer"	1	"Pro"
54	"Moderna"	1	"Pro"
55	"Bharat Biotech"	1	"Neutral"
55	"AstraZeneca"	0	"Neutral"
55	"CanSino Biologics"	0	"Neutral"
55	"Johnson & Johnson"	0	"Neutral"
55	"Moderna"	0	"Neutral"
55	"Sinovac"	0	"Neutral"
55	"BioNTech/Pfizer"	0	"Neutral"
55	"Novavax"	0	"Neutral"
56	"AstraZeneca"	1	"Pro"
56	"Bharat Biotech"	0	"Pro"
56	"BioNTech/Pfizer"	1	"Pro"
56	"Sinovac"	0	"Pro"
56	"Novavax"	0	"Pro"
56	"Johnson & Johnson"	1	"Pro"
56	"Moderna"	1	"Pro"
56	"CanSino Biologics"	0	"Pro"
57	"Novavax"	0	"Anti"
57	"Moderna"	0	"Anti"
57	"CanSino Biologics"	0	"Anti"
57	"AstraZeneca"	0	"Anti"
57	"Johnson & Johnson"	0	"Anti"
57	"Sinovac"	0	"Anti"
57	"Bharat Biotech"	0	"Anti"
57	"BioNTech/Pfizer"	0	"Anti"
58	"AstraZeneca"	0	"Pro"
58	"Johnson & Johnson"	0	"Pro"
58	"CanSino Biologics"	0	"Pro"
58	"Bharat Biotech"	0	"Pro"
58	"Moderna"	1	"Pro"
58	"Sinovac"	0	"Pro"
58	"BioNTech/Pfizer"	1	"Pro"
58	"Novavax"	1	"Pro"
59	"Bharat Biotech"	0	"Neutral"
59	"CanSino Biologics"	0	"Neutral"
59	"Sinovac"	0	"Neutral"
59	"Novavax"	1	"Neutral"
59	"Moderna"	0	"Neutral"
59	"AstraZeneca"	0	"Neutral"
59	"BioNTech/Pfizer"	0	"Neutral"
59	"Johnson & Johnson"	0	"Neutral"
60	"Moderna"	1	"Neutral"
60	"BioNTech/Pfizer"	1	"Neutral"
60	"AstraZeneca"	0	"Neutral"
60	"CanSino Biologics"	0	"Neutral"
60	"Johnson & Johnson"	0	"Neutral"
60	"Bharat Biotech"	0	"Neutral"
60	"Novavax"	0	"Neutral"
60	"Sinovac"	0	"Neutral"
61	"CanSino Biologics"	1	"Pro"
61	"Sinovac"	0	"Pro"
61	"Moderna"	1	"Pro"
61	"Johnson & Johnson"	0	"Pro"
61	"Novavax"	1	"Pro"
61	"AstraZeneca"	1	"Pro"
61	"Bharat Biotech"	1	"Pro"
61	"BioNTech/Pfizer"	1	"Pro"
62	"Novavax"	0	"Anti"
62	"CanSino Biologics"	0	"Anti"
62	"Sinovac"	0	"Anti"
62	"AstraZeneca"	0	"Anti"
62	"Bharat Biotech"	0	"Anti"
62	"BioNTech/Pfizer"	0	"Anti"
62	"Moderna"	0	"Anti"
62	"Johnson & Johnson"	0	"Anti"
63	"BioNTech/Pfizer"	1	"Pro"
63	"CanSino Biologics"	0	"Pro"
63	"AstraZeneca"	1	"Pro"
63	"Moderna"	1	"Pro"
63	"Johnson & Johnson"	0	"Pro"
63	"Bharat Biotech"	1	"Pro"
63	"Sinovac"	0	"Pro"
63	"Novavax"	0	"Pro"
64	"Novavax"	1	"Pro"
64	"Bharat Biotech"	0	"Pro"
64	"CanSino Biologics"	1	"Pro"
64	"AstraZeneca"	0	"Pro"
64	"Johnson & Johnson"	0	"Pro"
64	"BioNTech/Pfizer"	1	"Pro"
64	"Moderna"	1	"Pro"
64	"Sinovac"	1	"Pro"
65	"Sinovac"	0	"Anti"
65	"CanSino Biologics"	0	"Anti"
65	"Johnson & Johnson"	0	"Anti"
65	"Novavax"	0	"Anti"
65	"BioNTech/Pfizer"	0	"Anti"
65	"Moderna"	0	"Anti"
65	"Bharat Biotech"	0	"Anti"
65	"AstraZeneca"	0	"Anti"
66	"Novavax"	1	"Neutral"
66	"Johnson & Johnson"	0	"Neutral"
66	"AstraZeneca"	0	"Neutral"
66	"BioNTech/Pfizer"	1	"Neutral"
66	"CanSino Biologics"	0	"Neutral"
66	"Sinovac"	0	"Neutral"
66	"Bharat Biotech"	0	"Neutral"
66	"Moderna"	0	"Neutral"
67	"BioNTech/Pfizer"	0	"Neutral"
67	"Bharat Biotech"	0	"Neutral"
67	"Sinovac"	0	"Neutral"
67	"Moderna"	0	"Neutral"
67	"AstraZeneca"	0	"Neutral"
67	"Johnson & Johnson"	0	"Neutral"
67	"Novavax"	0	"Neutral"
67	"CanSino Biologics"	0	"Neutral"
68	"Johnson & Johnson"	0	"Anti"
68	"Sinovac"	0	"Anti"
68	"Novavax"	0	"Anti"
68	"AstraZeneca"	0	"Anti"
68	"Bharat Biotech"	0	"Anti"
68	"Moderna"	0	"Anti"
68	"CanSino Biologics"	0	"Anti"
68	"BioNTech/Pfizer"	0	"Anti"
69	"CanSino Biologics"	0	"Anti"
69	"Novavax"	0	"Anti"
69	"Bharat Biotech"	0	"Anti"
69	"Sinovac"	0	"Anti"
69	"BioNTech/Pfizer"	0	"Anti"
69	"Moderna"	0	"Anti"
69	"Johnson & Johnson"	0	"Anti"
69	"AstraZeneca"	0	"Anti"
70	"Bharat Biotech"	0	"Pro"
70	"Moderna"	1	"Pro"
70	"AstraZeneca"	0	"Pro"
70	"Johnson & Johnson"	0	"Pro"
70	"CanSino Biologics"	0	"Pro"
70	"Sinovac"	0	"Pro"
70	"BioNTech/Pfizer"	1	"Pro"
70	"Novavax"	1	"Pro"
71	"Novavax"	0	"Pro"
71	"Johnson & Johnson"	0	"Pro"
71	"Sinovac"	0	"Pro"
71	"Bharat Biotech"	1	"Pro"
71	"CanSino Biologics"	0	"Pro"
71	"Moderna"	1	"Pro"
71	"BioNTech/Pfizer"	1	"Pro"
71	"AstraZeneca"	0	"Pro"
72	"Moderna"	1	"Pro"
72	"AstraZeneca"	1	"Pro"
72	"CanSino Biologics"	0	"Pro"
72	"Johnson & Johnson"	1	"Pro"
72	"BioNTech/Pfizer"	1	"Pro"
72	"Sinovac"	0	"Pro"
72	"Bharat Biotech"	1	"Pro"
72	"Novavax"	1	"Pro"
73	"Novavax"	1	"Pro"
73	"AstraZeneca"	0	"Pro"
73	"BioNTech/Pfizer"	1	"Pro"
73	"Bharat Biotech"	1	"Pro"
73	"Sinovac"	0	"Pro"
73	"Johnson & Johnson"	0	"Pro"
73	"CanSino Biologics"	0	"Pro"
73	"Moderna"	1	"Pro"
74	"Bharat Biotech"	1	"Pro"
74	"AstraZeneca"	1	"Pro"
74	"Moderna"	1	"Pro"
74	"Sinovac"	0	"Pro"
74	"Novavax"	0	"Pro"
74	"BioNTech/Pfizer"	1	"Pro"
74	"CanSino Biologics"	0	"Pro"
74	"Johnson & Johnson"	1	"Pro"
75	"BioNTech/Pfizer"	0	"Anti"
75	"Novavax"	0	"Anti"
75	"Sinovac"	0	"Anti"
75	"CanSino Biologics"	0	"Anti"
75	"Johnson & Johnson"	0	"Anti"
75	"Moderna"	0	"Anti"
75	"AstraZeneca"	0	"Anti"
75	"Bharat Biotech"	0	"Anti"
76	"BioNTech/Pfizer"	0	"Pro"
76	"Sinovac"	0	"Pro"
76	"Moderna"	0	"Pro"
76	"CanSino Biologics"	0	"Pro"
76	"Johnson & Johnson"	0	"Pro"
76	"Bharat Biotech"	1	"Pro"
76	"AstraZeneca"	0	"Pro"
76	"Novavax"	0	"Pro"
77	"Johnson & Johnson"	0	"Anti"
77	"BioNTech/Pfizer"	0	"Anti"
77	"CanSino Biologics"	0	"Anti"
77	"Bharat Biotech"	0	"Anti"
77	"Sinovac"	0	"Anti"
77	"Novavax"	0	"Anti"
77	"Moderna"	0	"Anti"
77	"AstraZeneca"	0	"Anti"
78	"Bharat Biotech"	0	"Pro"
78	"Novavax"	1	"Pro"
78	"Johnson & Johnson"	0	"Pro"
78	"Sinovac"	0	"Pro"
78	"CanSino Biologics"	0	"Pro"
78	"Moderna"	1	"Pro"
78	"AstraZeneca"	0	"Pro"
78	"BioNTech/Pfizer"	1	"Pro"
79	"Novavax"	0	"Anti"
79	"Bharat Biotech"	0	"Anti"
79	"AstraZeneca"	0	"Anti"
79	"Moderna"	0	"Anti"
79	"Sinovac"	0	"Anti"
79	"BioNTech/Pfizer"	0	"Anti"
79	"CanSino Biologics"	0	"Anti"
79	"Johnson & Johnson"	0	"Anti"
80	"AstraZeneca"	1	"Anti"
80	"CanSino Biologics"	0	"Anti"
80	"Sinovac"	0	"Anti"
80	"Moderna"	0	"Anti"
80	"Novavax"	1	"Anti"
80	"Johnson & Johnson"	1	"Anti"
80	"BioNTech/Pfizer"	0	"Anti"
80	"Bharat Biotech"	1	"Anti"
81	"Bharat Biotech"	0	"Anti"
81	"BioNTech/Pfizer"	1	"Anti"
81	"AstraZeneca"	1	"Anti"
81	"Johnson & Johnson"	0	"Anti"
81	"Moderna"	0	"Anti"
81	"Novavax"	0	"Anti"
81	"Sinovac"	0	"Anti"
81	"CanSino Biologics"	0	"Anti"
82	"Moderna"	0	"Pro"
82	"Novavax"	1	"Pro"
82	"BioNTech/Pfizer"	1	"Pro"
82	"Johnson & Johnson"	0	"Pro"
82	"CanSino Biologics"	0	"Pro"
82	"Sinovac"	0	"Pro"
82	"AstraZeneca"	1	"Pro"
82	"Bharat Biotech"	1	"Pro"
83	"Johnson & Johnson"	1	"Neutral"
83	"Novavax"	1	"Neutral"
83	"Moderna"	0	"Neutral"
83	"CanSino Biologics"	0	"Neutral"
83	"BioNTech/Pfizer"	0	"Neutral"
83	"Bharat Biotech"	1	"Neutral"
83	"Sinovac"	0	"Neutral"
83	"AstraZeneca"	1	"Neutral"
84	"Novavax"	1	"Pro"
84	"BioNTech/Pfizer"	1	"Pro"
84	"CanSino Biologics"	0	"Pro"
84	"Bharat Biotech"	0	"Pro"
84	"Sinovac"	0	"Pro"
84	"AstraZeneca"	1	"Pro"
84	"Moderna"	1	"Pro"
84	"Johnson & Johnson"	1	"Pro"
85	"Johnson & Johnson"	1	"Pro"
85	"Novavax"	0	"Pro"
85	"CanSino Biologics"	0	"Pro"
85	"AstraZeneca"	0	"Pro"
85	"Moderna"	1	"Pro"
85	"Bharat Biotech"	0	"Pro"
85	"Sinovac"	0	"Pro"
85	"BioNTech/Pfizer"	1	"Pro"
86	"CanSino Biologics"	0	"Anti"
86	"Johnson & Johnson"	0	"Anti"
86	"AstraZeneca"	0	"Anti"
86	"Bharat Biotech"	1	"Anti"
86	"BioNTech/Pfizer"	0	"Anti"
86	"Sinovac"	0	"Anti"
86	"Novavax"	0	"Anti"
86	"Moderna"	0	"Anti"
87	"Moderna"	1	"Neutral"
