text,labels
"I wanted to look at all the information. I multiplied the negative number for side effects by 300. For example, if it said 25 people out of a million would get heart inflammation, I multiplied 25 x 300 (since there are about 300 million people in the US).  That would mean 7,500 people in the US might get heart inflammation if all were vaccinated. I don't want to be one of the 7,500 people. I don't feel comfortable trusting the efficacy data without knowing the actual numbers used for the calculation.",0.0
"I have doubts regarding the vaccine effectiveness.  At first they said it was virtually 100% effective against being hospitalized, but I know a lot of people that have contracted covid and had health effects.  It's just like the masking.  At first the CDC said to save the masks for health professionals and then told us to all mask and then even suggested perhaps double masking.  It seems like these policies and science are flying by the seat of their pants.",0.125
I read all the benefits and side effects to be as informed as possible with the information available,0.75
none,0.5
"I spoke with family members that are physicians and our physician.  I did not rely on what was out from the CDC or any news outlet, as I don't trust them for what I needed for myself.  I went straight to people who are educated in this field and who I know will tell me the truth.",0.0
I am against vaccinating myself so it was a nobrainer for me.,0.0
"I just weighed the pros an cons of each vaccine.  I gave more weight to the more severe side effects, especially if there was a reasonable chance of experiencing them.  If a vaccine had a reasonable possibility of causing a severe side effect, I ruled it out regardless of effectiveness.",0.625
"I searched for all the information because all of it is relevant. I am double vaccinated and boosted with the Moderna shot, but after the British Medical Journal published about Pfizer potentially committing fraud -- and knowing that pharmaceutical companies are profit-driven even at the expense of the health and safety of patients -- I am beginning to have hesitancy around the Covid vaccines because they didn't go through the normal testing process to ensure safety. I am now more likely to consider as much information as is available when presented with the vaccines and choices about them.",0.125
I want to learn the pros and cons.,0.5
How I perceived the benefits and detriments would affect me.,0.625
just basic knowledge and attitudes towards vacines.,0.5
"I looked at almost every box except the ones I already knew about and trusted (Johnson and Johnson, Moderna and Pfizer). In those cases I just chose yes.",0.875
Low numbers of side effects with effectiveness over 90%,0.5
No specific reasons.,0.5
I wanted the most effective option with hardly any side effects,0.125
I am now generally afraid of the current crop of Covid-19 Vacinnes. I did get the first two shots of the Pfizer vacinne but have not and will not get the boosters. Because of this I generally focused on the risks.,0.0
"It was easy to make the choices that I did because I'm very against a vaccine that requires you to get four to five boosters within two years because the more you boost it, the more it mutates and gets dangerous. There's no way it's been properly tested.",0.0
I compared effectiveness to potential side effects.,0.625
I wouldn't pay or take any vaccine except for the Pfizer one I actually took.,0.0
I weighed my chances of dying to COVID unprotected versus chance of dying or experiencing an unpleasant side effect.,1.0
"to learn about the side effects, understand the effectiveness",0.375
I was most concerned with protection against the severe effects of COVID & how common the side effects were. I'd normally look for effectiveness first and then side effects.,0.875
"I mainly looked at the type of side effects the vaccine had. Even if the chance of having the side effect was low, if it was a severe side effect then I chose not to get the vaccine.",0.375
I looked for which vaccine had worse side-effects than others.,0.625
no,0.375
I paused over them to read information about the effectiveness,0.5
just based of the numbers and if the side  effects were high or severe,0.625
I don't trust any vaccine that doesn't have at least a decade of human testing with a huge number (hundreds of thousands) of test subjects to determine whether or not there are harmful side effects.,0.0
I was more concerned with the side effects than the benefitsprotection,0.0
I went in order from left to right,0.25
"Although all responses to vaccines in the choice task were negative or unwilling to receive, I would say that I didn't realize certain countries were developing vaccines as well, the Netherlands was a hypothetical I believe? I would be much more positive towards a European country developing a vaccine, or Chinese. In my search behavior, I always try and look for specialized working groups, because they always have the best information. UK's MHRA is very good, for example. When I watched the FDA's recent public hearing for VRBPAC, I was just horrified really. These vaccines aren't the same as previous vaccines, they're not being followed up if there was a problem. We don't have the provider support to understand that there could be a problem. And if they do, one wouldn't normally be able to find any neurological or rheumatological or hematological help here in the US. It's just very taxing to the system, as is COVID, to endeavor without being open to these possibilities. I look in the news too, because I may want to find some of the vaccines that aren't being supported the same as the main ones. I may want to look up more on say, non-natural nucleosides. I don't have a good knowledge about the mechanisms where I could fully explain it, but I do know that there is concern of backtracking into the body's DNA or mutagenesis. Not just people talking, people who give presentations. I do trust those scientists, because there is no other reason to bring it up unless it was a possible problem. In the news as well, it seems that fully vaccinated folks are testing positive. I don't know if they're diseased or not by the infection, but why even go there if I'm phobic of needles and pretty certain about the presence of immunological effects that I might not be able to recover from? So my general characterization in searching is about trust, I must find the trustable sources of information.",0.0
for comparisons,0.375
"I looked at the risks and thought of how irreparable they were. Obviously, I can deal with general discomfort.nnAlso, the task didn't mention how long the side effects would last, so I assumed it was a couple weeks.",0.5
I read through each bit of information and tried to weigh risk vs benefit.,0.625
"I really just wanted to see what the side effects were for the most part.  However, where the vaccine was made also was a big factor for me.",0.0
"Governments have proven themselves to be untrustworthy. All sorts of info about covid and the vaccines have been distorted and misrepresented. nPrior to the covid situation, I have unquestioningly accepted every vaccine that I have been offered throughout my 65+ years. However, my trust in government, public health and medical authorities and pharma companies has been completely destroyed. I now actively avoid any kind of medical interventions and will do so for the foreseeable future. If you want to change this situation, try rooting out the corruption. Then maybe people like me will change our opinions.",0.0
"I have not done much research, but my parents are both doctors and I hear them talk about how it is effective. My dad works in the ER and he says that most people who test positive there are not vaccinated. Also my college (washU) required vaccines so I didn't really have a choice.",0.875
I looked for the most severe symptoms. I would characterize my search behavior as fear based.,1.0
What the side effects were and how severe they are.,0.5
"I was just on the look out for a vaccine that was 99% effective with no side effects, but there simply isn't one yet.  I've already had Covid and it was very minor, so I would rather risk potentially catching it again rather than the risk of a relatively new vaccine.  Still, I do see why many people are getting them right away.",0.0
"I looked at the likelihood of each risk, and compared it to what I already know about the risks of Covid, to determine if it were more likely that I would experience the sameworse effects from getting Covid as getting the vaccine. I also compared that to the likelihood of being protected by the vaccine to see if it was worth the risks involved.",0.75
no specific reasons,0.625
"I wanted to be prepared for the typical side effects so that I knew what to expect.  Then, when I had unusual symptoms, I looked those up to make sure I didn't have to worry.",0.375
I didn't matter because I never planed to get vaccinated. I don't trust big pharma or the FDA as well as the intense social pressure for me to risk my own life and bear the potential consequences so that others may accept me. The fact that medical companies would hide data is shady enough.,0.0
"Chance of protection against death was most important, severe side-effects second most important and sever Covid 3rd most important.",0.5
"I had a severe, life-threatening reaction to the COVID vaccine and am not allowed to get any further boosters.  I developed spontaneous hemorrhaging due to an autoimmune blood clotting disorder.  I didn't do any research on vaccines for this choice task.  I just read what was presented and made decisions that way.",0.25
I would try to see if there were severe side effects associated with the vaccine and weigh it out with the amount of protection the vaccine provided to see if it's worth it.,0.75
My search behavior is neutral.,0.375
I looked at the severe side effects and the chances of not getting the sickens.,0.625
none,0.5
"Of course any one of those vaccines would be great,if that were really the numbers.Who wouldnt want to be protected from death or severe illness.The only reason i have never gotten a vaccine is because it simply is not that important or worth my time.If they worked they definantly would be.Covids first peak,when it 1st started and we were seeing over 200,000 cases a day,remember that,that was before we had vaccines.Then once 80% of america was vaccinated we were seeing as high as 1.5 million new cases a day.Then all the bullshit about the vaccines doesnt work on omicron.Well if that was the case,then whats the point.And i am definantly not one of those morons who think the vaccine gives people covid,or those idots that bitch about wearing masks,its just a piece of cloth wear it and shut up.I am a total believer in vaccines,i have never had polio or smallpox,and i dont know anyone that has.When someone says that there are covid vaccines,and then still 100`s upon 100`s of thousand of people that have gotten 2 shots and a booster get covid,kinda takes the magic out of the word vaccine.And if our goverment was to leave everything up to the person to get it or not,and have no mandates whatsoever 99% of people would of gotten it.If they were honest and came right out and said....We have a shot that may make covid less severe maybe,were not promising you anything, but will definantly NOT stop you from getting covid.You can get 2 shots and 14 boosters and still get covid.But as our gift to you it is free.And after all the testing there are low to no risks associated with it,and if you act now we will throw in a new 4-slice,2 temperature toaster by cuisinart.See how ridiculous that just sounded,thats how ridiculous all the experts pushing a vaccine that doesnt stop people from getting the disease it is designed for.The craziest thing is all the famous people and goverment employees that were most outspoken about it,and preached the most to put mandates in place all ended up with covid,and that was after both shots and boosted.Long story short,if it was to stop me from getting covid,i would get the vaccine",1.0
I looked at all the categories and thought about how I would rather take my chances with a virus that I have a high chance of recovering of without a vaccine.,0.0
I just tried to check everything.,0.75
I was looking for only the best with the higher results,0.625
It depended on where it came from and the side effects,0.0
"I looked mainly at effectiveness and also for those that provided higher rates of COVID protection overall, especially for just getting COVID, not just severe or death risk.  I wanted to have the vaccine that prevented even getting COVID at all. I think my search behavior reflects my own risk assessment for myself as someone who is otherwise in good health and just wants to avoid the virus.",0.75
No. I just evaluated what was there.,0.625
no,1.0
I cared a lot about the effectiveness of the vaccine than anything,0.875
I would go for the one with the lower risks about important health issues,0.625
I did not search for information about vaccines.  My choices were made depending on the effectiveness VS the side effects.,0.375
nothing from china or outside the us was my main reason,0.25
"Tried to imagine the side effects on myself, and whether the vaccine seemed like it offered reasonable protection.",0.75
I have already done a lot of researching and was familiar with the vaccines available. I would like to get Novavax but for some reason the USA is really taking their time approving it for use compared to all of the other countries Novavax filed for emergency use authorisation. Even then I don't feel it is necessary that I receive it.,0.375
A general consensus from my doctors and nurses,0.5
Severity of side effect and protection aginst covid 19 infectiondeath,0.625
No,0.75
I first looked at the effectiveness and then the side effects.,1.0
"Unless there were severe side effects in a majority of people, I indicated that I would get the vaccine",1.0
I looked at all of the options,0.375
"I do not get vaccines, PERIOD.",0.0
I searched the side effects and overall effectiveness of the vaccine.,0.5
no,0.0
I used the information I gathered when deciding what vaccination to get.,0.625
"I looked at the percentage of serious side effects, then less serious versus vaccine efficiency.",0.375
I generally looked at overall effectiveness vs. how often negative side-affects were encountered.,0.625
"I based my decisions on the effectiveness, and the side effects. For the Johnson vaccine, I based my decision on the name only.",0.125
I mainly find the effectiveness and no severe side effects. I think my search behavior is normal and good.,0.625
I think side effects influenced me the most.,0.625
"I knew Moderna and Pfeizer were the most effective. Johnson & Johnson is somewhat effective. I'm not sure about the other ones, though I heard the chinese vaccines weren't effective against omicron which is why they're locking down their cities. This is information I already knew.",0.625
"During the choice task, I looked at all the information available to me in order from left to right before making my decision. I made sure that I had a chance to hover over every box. Additionally, I said I would pay a maximum of $0 USD for each vaccine because I believe they should all be free.",1.0
I used previous research that I had done on the various vaccines to influence my decisions in the choice task.,0.5
no i just read it all,1.0
Not interested in vaccines from china or ones that had protection levels in the 70s.  I looked at the side effects and decided which ones the rewards was greater than what I perceived to be the personal risk.,0.625
i just tried to avoid really dangerous side effects. type of vaccine or countries of origin wasn't a huge concern to me.,0.625
none,0.5
"In general I searched for information about the vaccines using Google, Wikipedia, and scientific studiesarticles. I am always searching so I tend to have moderate knowledge about the vaccines.",0.125
no,0.625
