"sub"	"oe"	"covid_vax_attitude"
88	"I chose after seeing the side effects and the highest possible outcome. If the side effects were severe, but the percentage rate for effectiveness was high, I chose not to take the shot. If the side effects were minimal and the percentage of the effectiveness was high, I chose the shot."	"Neutral"
89	"I always checked the benefits of the vaccine, and then compared them to the risks. Then I made my decision to whether it was worth it or not. I didn't really care about the technology nor the country of origin."	"Pro"
90	"I attempted to see all the information that was available during the tasks. That said, since the tasks were comparing vaccines that were widely known, my previous knowledge and relationship to those vaccines did play into my answers."	"Pro"
91	"No"	"Pro"
92	"I looked at effectiveness more than I did side effects, and usually based my decisions off of the effectiveness."	"Pro"
93	"I'd take any approved vaccine"	"Pro"
94	"I just wanted to know the side effects"	"Pro"
95	"I read UNCENSORED news and know the truth.  Why would the vax companies want to hide the truth for 75 years?  The FDA lost a court case and have been forced to release thousands of pages of information each month now.  Why not check out the TRUTH.  Many people are waking up to the cold hard facts.  There are MANY doctors risking their lives to get the TRUTH out.  Why have so many been killed?  The truth WILL Come out for ALL to see."	"Anti"
96	"If they had severe side effects I just wouldn't want to do it."	"Neutral"
97	"I made my choices based on which of the information was most reliable for me. And my search behavior was decided on which of the vaccines I would take."	"Anti"
98	"I wanted to read all of it and I just started in the left column and went down then repeated for the right. Because I am most afraid of getting long covid (much more so than dying, especially because vaccines are so effective against death), the most important piece of information to me was the level of protection against getting any covid infection since that can happen from even an asymptomatic case. However I was not willing to pay for these on principle because all covid vaccination should be free as it is a major PUBLIC health risk and not an individual burden, no matter what any one says."	"Pro"
99	"null"	"Neutral"
100	"n\/a"	"Neutral"
101	"I did a lot of research on mRNA.  My brother in law is an immunologist and he explained it to me but I still mistrust it. I don't want it. I think there are a lot of things we just don't know yet aboutlong term events. Also, as I feel COVID-19 was developed in a lab in Wuhan, China, I do not want any vaccine from China. NO NO NO.  I will stick (no pun intended) with the tried and true methods of vaccination, even if they are not quite as effective. My daughter had the Pfizer vaccine, my husband had Moderna AND the booster, my son and I had J & J, my daughter and her husband both had the Pfizer plus booster and guess what?  We ALL---every single one of us--got the virus and we were all sick with about the same symptoms for the same amount of time. People in their mid twenties and people in their early sixties.  I think it has been a huge windfall for the pharmceutical companies and we were all dupes and guinea pigs. You know who has NOT ever gotten COVID-19? My brother, who never had one single vaccine.  This whole thing makes me distrust health \experts\ and makes me very skeptical of any new advice they have for us."	"Neutral"
102	"i searched how effective each vaccine was in protecting against covid and the side effects."	"Pro"
103	"I refuse to take any vaccine from China straightaway, I don't care about any other facts about the vaccine. Anyhow, all of these damaging vaccines are globalist racket. I eat organic vegetables from my own garden, this household eats clean and stays fit, why on earth would we take ANY risks for some protection against a little bug that made me sick for 6 hours? I was born at night, but not last night."	"Anti"
104	"I tired to focus on the side effect numbers and gauged that against the benefits."	"Pro"
105	"I took a look at all of the benefits and risks and if the number of people experiencing side effects labeled as \severe\ were high, that made me less likely to take that vaccine.  I want to avoid severe headaches and muscle pain as much as possible, even if it means accepting a risk of blood clot or some other catastrophic event.  The rates of those catastrophic events were usually incredibly low, most times less than a fraction of 1%, so I was willing to risk that assuming that I would not have a horrible reaction like that."	"Pro"
106	"negative side effects takes precedence"	"Pro"
107	"null"	"Pro"
108	"I was more interested in the benefits than the side effects. However, I admit that rare and scary side effects (such as facial paralysis) grabbed my attention, and I was less willing to entertain the risk of acquiring them, even a slight risk."	"Pro"
109	"I looked at a few of the boxes but since this whole vaccine nightmare started I have been getting a lot of information from a private newsletter that I get from a very trusted source , in my email. I also have been taking the advice of my acupuncturist who is the only medical practitioner that I now trust. I  know a lot about this and I would never under any circumstances get  any of these poisonous vaccines. I personally know one woman who got heart inflammation from it and almost died and I know of another man who DID die from it . Not including all the other thousands of people all over the world who have died or been crippled by them . If I was held down by a government agent and forcibly injected with it I think I would be so terrified that I might commit suicide.  I would  be in such a state of terror that I would just lay in bed and shake and scream . I  am NOT anti vaccine . I got all the childhood ones and I got the shingles vaccine several years ago. THIS is different . It's just as much of a bioweapon as the virus that was deliberately unleashed on the world as an act of war by the communist Chinese government . And it worked . Western civilization , and especially America has been destroyed by it and now the Chi Coms are taking over the world . It's a nightmare ."	"Anti"
110	"No and I have a wait and see attitude given the virus was madly overhyped and it is nowhere near as lethal as it was projected but it has done a good bit of damage to civilisation anyhow."	"Neutral"
111	"i researched side effects and potential benefits and chose the one that has the most benefits and researched anecdotal evidence on hospital visits.  I used Facebook group for anecdotal evidence as well as Twitter accounts."	"Pro"
112	"went over all of the presented information in order presented"	"Pro"
113	"I know what is in the vaccines. My aunt is a RN and she found out. For a time she was helping out the prisons and she said she would not inject the hardest criminals with that stuff."	"Anti"
114	"I just looked at each piece of information one by one"	"Anti"
115	"null"	"Neutral"
116	"I was mostly focused on effectiveness against severe infection and severe side effects."	"Neutral"
117	"I just looked everything over but honestly it wasn't any new information, those side effects are crazy."	"Anti"
118	"I searched for side effects per million to do cost benefit analysis. However, in all reality I said NO to every company except India. My confidence in vaccine manufacturers and medical bureaucrats in general has fallen massively during Covid19 response. India got a possible yes because they didn't play politics with their citizens health when Ivermectin was proven effective against severe Covid19, and simply distributed it in care packages."	"Anti"
119	"Just basically weighed the side effects and effectiveness. The more severe side effects and lesser effectiveness I said no to."	"Pro"
120	"Basically, I looked at the percentages in terms of how much they prevented Covid and\/or its seriousness. Also, the country of origin. If the rates of tiredness, etc. were particularly high I considered that along with percentages."	"Neutral"
121	"I looked at the risks first.  I wanted to support my country as well."	"Neutral"
122	"I did not search for any information."	"Anti"
123	"I just wanted to get some protection against COVID-19. I did some research and was pleased with what I read about all the available vaccines in general, but more so about the BioNTech\/Pfizer one, and was fortunate enough to have that one available in my area."	"Pro"
124	"I looked at the side effects of the vaccines and their potential to help me not contract the virus again."	"Pro"
125	"I just looked to see if there was any info on the risk of the particular issue I have with the vaccines, which is tinnitus, which I already have a severe case of and which all of the vaccines I've studied thus far can make worse. If it was not addressed, I said no. And it was never addressed. I wear N95 masks and stay home."	"Pro"
126	"I mainly focused on their effectiveness for combating the worst symptoms of the virus above all else."	"Pro"
127	"I looked at all the available information and then decided based on whether I thought the benefits outweighed the risks."	"Neutral"
128	"I just knew i'd never take a vaccine no matter what to be honest."	"Anti"
129	"null"	"Neutral"
130	"null"	"Neutral"
131	"I checked all the effectiveness and side effect info"	"Pro"
132	"I just took all the numbers at face value and made a decision. Nothing that strenuous."	"Pro"
133	"I'd take most vaccine versus getting sick."	"Pro"
134	"I reviewed every bit of information that was provided as if reading a book or newspaper. I started at the top left and read each one from left to right from top to bottom."	"Neutral"
135	"N\/A"	"Neutral"
136	"not really, just based on information about vaccines already present"	"Pro"
137	"I did not because I formed an opinion a year ago. The vaccine is not old enough."	"Anti"
138	"I looked for protection against severe illness and death and measured that against permanent or dangerous health side effects. I also refused any vax from China as I don't think their formulation is high quality or trustworthy."	"Pro"
139	"I was more interested in the search for the effectiveness of the vaccine.  If the effectiveness was not greater than 90% then I would not be interested in receiving the vaccine."	"Neutral"
140	"side effects and percentage of effectiveness"	"Neutral"
141	"I would love the benefits of being vaccinated but the risks are too high for me to take. I feel like getting the vaccine would be like gambling with my life."	"Neutral"
142	"I was mostly concerned with the frequency of negative side effects. I'm curious about some of the reported numbers, referring to the chances out of 1000000 that these negative effects occur, and wonder if they're a bit lower than what actually is the case in reality. I wasn't so concerned about prevention of infection with COVID, since that's almost impossible to truly avoid. Severe infection or death from COVID are things I'm statistically unlikely to experience, so those weren't major concerns either."	"Anti"
143	"I am strongly opposed to chinese vaccines (due to testing \/ effecacy issues) and mRna vaccines (due to no long term side effect profiles and unknowable risks)"	"Anti"
144	"low side effects"	"Pro"
145	"I focused on effectiveness rates and the number of people who had severe reactions when deciding. I was outweighing the pros and cons."	"Pro"
146	"My biggest concerns are heart-related side-effects and blood clots, so I would avoid any vaccines that could cause them. I already have severe cardiophobia and arrhythmia so I would hate to do anything that would potentially aggravate my symptoms. I was more open to Novavax because it sounds more traditional and the side-effects seem milder."	"Anti"
147	"I didnt search for information on vaccines. I just read everything and gave my best response on the questions"	"Neutral"
148	"null"	"Pro"
149	"Country of origin is the most important factor.  Familiarity of company names also affected my choice."	"Pro"
150	"I don't have any special requirements or conditions but do live with someone who has multiple autoimmune disorders and is at higher risk for covid complications so whatever she felt safest taking, I was also willing to considering the amount of research she's done and what is on the line for her."	"Pro"
151	"null"	"Neutral"
152	"I looked mainly at the percentages and how high or low they were. I also looked at things like where the vaccine came from."	"Neutral"
153	"i looked at the risks and effectiveness"	"Pro"
154	"I gathered all info about all areas"	"Neutral"
155	"Asking \general attitude towards a vaccination\ is a misleading question, or at least you likely will get misleading answers. I actually have very little against CHOOSING to get vaccinated when I determine that the risk\/rewards are worth it. Unfortunately covid was 100% politicized and a major authoritarian power grab that has practically eliminated personal liberty in the US. We might \pretend\ that these measures are being eased up (why should I be thankful that the government is kind enough to give me back my freedom??) but the population has proven that they can be controlled with fear and will submit to anything that their overlords say.\n\nBut anyway, wouldn't touch anything from China, I have no faith in any numbers they may claim. I am skeptical of mRNA not because I distrust it, but because the government, pharmaceuticals, and media actively suppressed and ostracized anyone who hinted at having an alternate opinion, and refused to even consider that there might be cheaper \/ existing TREATMENTS rather than this blind desire for a vaccine."	"Anti"
156	"Yes, my search was primarily focused on the severity of the side effect and the vaccine's overall effectiveness rating."	"Pro"
157	"alternative news &studies"	"Anti"
158	"I knew from the beginning that this whole thing is a huge psyop. When Ovenor Jay Inslee required face skams that is when I knew for sure this whole thing was a lie. I watched a video today about a pilot who had the shot (it is not a vaccine) and had a heart attack while flying a plane full of people. According to VAERS a lot of people are having very bad reactions. I used to get vaccines for my job because I worked in social services at schools, hospitals, and prisons. I will never get another vaccine again. Bill Gates and Klaus Schwab have an agenda."	"Anti"
159	"I was primarily focused on the effectiveness of the vaccines"	"Pro"
160	"I relied more heavily on the side that were intolerable for me, but I also required at least 90% efficacy in protecting against different aspects of Covid-19."	"Pro"
161	"Well unfortunately given all that's happened around vaccines I came into the study having seen a lot of information (whether correct or not) and formed opinions on the vaccines. I understand statistical events but even when they are really low I still have to ask myself do I want to roll those dice? I was originally offered J&J as a first vaccine. I declined it because it had whole DNA in it and I didn't like the viral vector because even though it's said to be safe if you had been exposed to it, the the shot would be useless because your immune system would attack the vector before the DNA could be delivered to the cell. This is why I don't like vector vaccines. I've come to be very hesitant and skeptical about the mRNA vaccines as well. I don't know it that is still sitting in my body replicating to allow some side effect to come up later. Not to mention it's obvious at this point that they don't have anywhere near 90+% efficacy against infection. Anyway, regardless of the rate of incidence, if the side effect is severe I think twice about getting it because it seems like I always have all the side effects. Generally I would feel safer with taking a more traditional vaccine that contains subunits or disabled\/killed virus. And finally I feel that other mitigations are more important that vaccines currently available since they aren't doing a lot of good. In 2021 I was very much for these vaccines and I got the Pfizer vaccine as soon as it was available to me and I got the 2nd dose and even a booster, but now I'm not happy with the results of everyone still getting infected. So many people I know have been vaccinated and infected anyway and these vaccines do not protect anyone from long covid or whatever else this virus might do if it lingers around in the body like the epstein bar virus does. I hope you get what you need on this study but I think most people are going to come into it with bias from information outside the study unless they've been living in a remote cave or something"	"Anti"
162	"null"	"Neutral"
163	"The side effects, the risks, the effectiveness of the vaccine, and the percentage of people affected were the most important factors for me when deciding if I would take the vaccine or not."	"Neutral"
164	"I looked at all the info provided"	"Neutral"
165	"null"	"Pro"
166	"n\/a"	"Anti"
167	"I wanted to look at all the information. I multiplied the negative number for side effects by 300. For example, if it said 25 people out of a million would get heart inflammation, I multiplied 25 x 300 (since there are about 300 million people in the US).  That would mean 7,500 people in the US might get heart inflammation if all were vaccinated. I don't want to be one of the 7,500 people. I don't feel comfortable trusting the efficacy data without knowing the actual numbers used for the calculation."	"Anti"
168	"I have doubts regarding the vaccine effectiveness.  At first they said it was virtually 100% effective against being hospitalized, but I know a lot of people that have contracted covid and had health effects.  It's just like the masking.  At first the CDC said to save the masks for health professionals and then told us to all mask and then even suggested perhaps double masking.  It seems like these policies and science are flying by the seat of their pants."	"Neutral"
169	"null"	"Neutral"
170	"I read all the benefits and side effects to be as informed as possible with the information available"	"Pro"
171	"none"	"Neutral"
172	"I spoke with family members that are physicians and our physician.  I did not rely on what was out from the CDC or any news outlet, as I don't trust them for what I needed for myself.  I went straight to people who are educated in this field and who I know will tell me the truth."	"Neutral"
173	"I am against vaccinating myself so it was a nobrainer for me."	"Anti"
174	"I just weighed the pros an cons of each vaccine.  I gave more weight to the more severe side effects, especially if there was a reasonable chance of experiencing them.  If a vaccine had a reasonable possibility of causing a severe side effect, I ruled it out regardless of effectiveness."	"Pro"
175	"I searched for all the information because all of it is relevant. I am double vaccinated and boosted with the Moderna shot, but after the British Medical Journal published about Pfizer potentially committing fraud -- and knowing that pharmaceutical companies are profit-driven even at the expense of the health and safety of patients -- I am beginning to have hesitancy around the Covid vaccines because they didn't go through the normal testing process to ensure safety. I am now more likely to consider as much information as is available when presented with the vaccines and choices about them."	"Neutral"
176	"I want to learn the pros and cons."	"Pro"
177	"null"	"Pro"
178	"How I perceived the benefits and detriments would affect me."	"Pro"
179	"null"	"Pro"
180	"just basic knowledge and attitudes towards vacines."	"Neutral"
181	"null"	"Pro"
182	"I looked at almost every box except the ones I already knew about and trusted (Johnson and Johnson, Moderna and Pfizer). In those cases I just chose yes."	"Pro"
183	"Low numbers of side effects with effectiveness over 90%"	"Pro"
184	"No specific reasons."	"Neutral"
185	"I wanted the most effective option with hardly any side effects"	"Neutral"
186	"I am now generally afraid of the current crop of Covid-19 Vacinnes. I did get the first two shots of the Pfizer vacinne but have not and will not get the boosters. Because of this I generally focused on the risks."	"Neutral"
187	"It was easy to make the choices that I did because I'm very against a vaccine that requires you to get four to five boosters within two years because the more you boost it, the more it mutates and gets dangerous. There's no way it's been properly tested."	"Anti"
188	"I compared effectiveness to potential side effects."	"Pro"
189	"I wouldn't pay or take any vaccine except for the Pfizer one I actually took."	"Neutral"
190	"null"	"Pro"
191	"I weighed my chances of dying to COVID unprotected versus chance of dying or experiencing an unpleasant side effect."	"Pro"
192	"null"	"Neutral"
193	"to learn about the side effects, understand the effectiveness"	"Pro"
194	"I was most concerned with protection against the severe effects of COVID & how common the side effects were. I'd normally look for effectiveness first and then side effects."	"Pro"
195	"I mainly looked at the type of side effects the vaccine had. Even if the chance of having the side effect was low, if it was a severe side effect then I chose not to get the vaccine."	"Pro"
196	"I looked for which vaccine had worse side-effects than others."	"Neutral"
197	"null"	"Pro"
198	"no"	"Neutral"
199	"I paused over them to read information about the effectiveness"	"Pro"
200	"just based of the numbers and if the side  effects were high or severe"	"Pro"
201	"I don't trust any vaccine that doesn't have at least a decade of human testing with a huge number (hundreds of thousands) of test subjects to determine whether or not there are harmful side effects."	"Anti"
202	"I was more concerned with the side effects than the benefits\/protection"	"Neutral"
203	"I went in order from left to right"	"Neutral"
204	"Although all responses to vaccines in the choice task were negative or unwilling to receive, I would say that I didn't realize certain countries were developing vaccines as well, the Netherlands was a hypothetical I believe? I would be much more positive towards a European country developing a vaccine, or Chinese. In my search behavior, I always try and look for specialized working groups, because they always have the best information. UK's MHRA is very good, for example. When I watched the FDA's recent public hearing for VRBPAC, I was just horrified really. These vaccines aren't the same as previous vaccines, they're not being followed up if there was a problem. We don't have the provider support to understand that there could be a problem. And if they do, one wouldn't normally be able to find any neurological or rheumatological or hematological help here in the US. It's just very taxing to the system, as is COVID, to endeavor without being open to these possibilities. I look in the news too, because I may want to find some of the vaccines that aren't being supported the same as the main ones. I may want to look up more on say, non-natural nucleosides. I don't have a good knowledge about the mechanisms where I could fully explain it, but I do know that there is concern of backtracking into the body's DNA or mutagenesis. Not just people talking, people who give presentations. I do trust those scientists, because there is no other reason to bring it up unless it was a possible problem. In the news as well, it seems that fully vaccinated folks are testing positive. I don't know if they're diseased or not by the infection, but why even go there if I'm phobic of needles and pretty certain about the presence of immunological effects that I might not be able to recover from? So my general characterization in searching is about trust, I must find the trustable sources of information."	"Anti"
205	"for comparisons"	"Pro"
206	"I looked at the risks and thought of how irreparable they were. Obviously, I can deal with general discomfort.\n\nAlso, the task didn't mention how long the side effects would last, so I assumed it was a couple weeks."	"Neutral"
207	"I read through each bit of information and tried to weigh risk vs benefit."	"Pro"
208	"I really just wanted to see what the side effects were for the most part.  However, where the vaccine was made also was a big factor for me."	"Anti"
209	"Governments have proven themselves to be untrustworthy. All sorts of info about covid and the vaccines have been distorted and misrepresented. \nPrior to the covid situation, I have unquestioningly accepted every vaccine that I have been offered throughout my 65+ years. However, my trust in government, public health and medical authorities and pharma companies has been completely destroyed. I now actively avoid any kind of medical interventions and will do so for the foreseeable future. If you want to change this situation, try rooting out the corruption. Then maybe people like me will change our opinions."	"Anti"
210	"I have not done much research, but my parents are both doctors and I hear them talk about how it is effective. My dad works in the ER and he says that most people who test positive there are not vaccinated. Also my college (washU) required vaccines so I didn't really have a choice."	"Pro"
211	"I looked for the most severe symptoms. I would characterize my search behavior as fear based."	"Pro"
212	"What the side effects were and how severe they are."	"Pro"
213	"I was just on the look out for a vaccine that was 99% effective with no side effects, but there simply isn't one yet.  I've already had Covid and it was very minor, so I would rather risk potentially catching it again rather than the risk of a relatively new vaccine.  Still, I do see why many people are getting them right away."	"Neutral"
214	"I looked at the likelihood of each risk, and compared it to what I already know about the risks of Covid, to determine if it were more likely that I would experience the same\/worse effects from getting Covid as getting the vaccine. I also compared that to the likelihood of being protected by the vaccine to see if it was worth the risks involved."	"Pro"
215	"no specific reasons"	"Neutral"
216	"I wanted to be prepared for the typical side effects so that I knew what to expect.  Then, when I had unusual symptoms, I looked those up to make sure I didn't have to worry."	"Pro"
217	"I didn't matter because I never planed to get vaccinated. I don't trust big pharma or the FDA as well as the intense social pressure for me to risk my own life and bear the potential consequences so that others may accept me. The fact that medical companies would hide data is shady enough."	"Anti"
218	"Chance of protection against death was most important, severe side-effects second most important and sever Covid 3rd most important."	"Pro"
219	"I had a severe, life-threatening reaction to the COVID vaccine and am not allowed to get any further boosters.  I developed spontaneous hemorrhaging due to an autoimmune blood clotting disorder.  I didn't do any research on vaccines for this choice task.  I just read what was presented and made decisions that way."	"Anti"
220	"I would try to see if there were severe side effects associated with the vaccine and weigh it out with the amount of protection the vaccine provided to see if it's worth it."	"Pro"
221	"My search behavior is neutral."	"Neutral"
222	"null"	"Neutral"
223	"I looked at the severe side effects and the chances of not getting the sickens."	"Neutral"
224	"none"	"Anti"
